title,duration,price,students,has_discount,is_free,price_log,students_log
Accounting: Get Hired Without Work Experience,1.0,100.0,4661,False,False,4.61512051684126,8.447199819595703
Forex Trading for Beginners - Basics,1.0,50.0,989,False,False,3.9318256327243257,6.897704943128636
Basic Bookkeeping Hacks,1.5,20.0,5841,False,False,3.044522437723423,8.672828482947686
Complete Trading Plan Course for Stocks & Forex (10 Hours),9.5,200.0,1087,False,False,5.303304908059076,6.992096427415888
"Forex Trading with Fixed 'Risk through Options Trading""",1.0,200.0,611,False,False,5.303304908059076,6.416732282512326
"Intro to Investment Banking, M&A, IPO, Modeling + Free Book",20.0,60.0,1922,False,False,4.110873864173311,7.56164174558878
How to Pick The Right Penny Stocks To Invest In 2017,2.5,150.0,9015,False,False,5.017279836814924,9.106756055719613
Top 10 Trading Ideas in the Equities Market,1.0,20.0,661,False,False,3.044522437723423,6.495265555937008
Intro to Financial Modeling,6.0,105.0,1077,False,False,4.663439094112067,6.982862751468942
Shark Accounting - Building a Business by the Numbers!,1.5,20.0,6050,False,False,3.044522437723423,8.707978826622321
Forex Trading MAKE YOUR FIRST TRADE TODAY!,4.0,150.0,3523,False,False,5.017279836814924,8.16735198705607
Accounting in 60 Minutes - A Brief Introduction,1.5,0.0,56659,False,True,0.0,10.944823773384508
SAP FICO For Beginners - A Guide to SAP Financial Accounts,5.0,100.0,1444,False,False,4.61512051684126,7.275864600546533
Learn how to double your Forex Trading Account in one trade,2.5,60.0,2900,False,False,4.110873864173311,7.972810784121404
"Accounting Superpowers: Learn Accounts, Understand Business!",2.5,200.0,1437,False,False,5.303304908059076,7.271008538280992
Python Algo Trading: FX Trading with Oanda,3.0,200.0,453,False,False,5.303304908059076,6.118097198041348
Save on Your Taxes,1.5,20.0,2437,False,False,3.044522437723423,7.798933310041217
Financial Model Basics: Build a model from start to finish,1.0,30.0,5057,False,False,3.4339872044851463,8.52872642722991
Option Trading for Rookies: The Covered Call Option Strategy,1.5,95.0,6092,False,False,4.564348191467836,8.714895850248494
EFT for Stock Options Trading Success & Making Better Trades,1.5,95.0,4530,False,False,4.564348191467836,8.418697944667139
Learn to Trade the Stock Market without Blowing Your Profits,1.0,60.0,6967,False,False,4.110873864173311,8.849083518532339
Get a Credit Repair Publication On Amazon and Live LIFE..,3.0,20.0,727,False,False,3.044522437723423,6.590301048196686
Fundamentals of Accounting,3.0,20.0,1560,False,False,3.044522437723423,7.353081920515432
"RSI, Options Trading & Technical Analysis (3 Course Bundle)",3.5,200.0,1047,False,False,5.303304908059076,6.954638864880987
Basics of Mutual Funds for CA / CMA / CS / CFA Exams,1.0,125.0,1045,False,False,4.836281906951478,6.952728644624869
Accounting 101: How to read an Accounting Balance Sheet,2.0,200.0,3050,False,False,5.303304908059076,8.02322468471667
Stock Options Day Trading Mindset for Success,4.5,200.0,2988,False,False,5.303304908059076,8.002694162283937
Introduction to bookkeeping and Accounting,1.0,35.0,2623,False,False,3.58351893845611,7.8724551500639794
Learn to Trade The News,46.5,200.0,1924,False,False,5.303304908059076,7.562681246721884
"Value Investing, Taught by Six Superinvestors",5.0,200.0,3804,False,False,5.303304908059076,8.244071270295786
Trading for everyone - The Independent Investor Course I,4.0,120.0,4133,False,False,4.795790545596741,8.327000740241713
Get Acquired: Learn From The Head Of Acquisitions For eBay,2.5,195.0,1420,False,False,5.278114659230518,7.259116128097101
Stock Market investment: Practical Accounting,3.0,125.0,1120,False,False,4.836281906951478,7.02197642307216
"How to remove 'Risk from Penny Stocks - Options Trading""",1.0,200.0,668,False,False,5.303304908059076,6.505784060128229
Accounting Basics in 66 Minutes (absolutely for beginners),1.5,25.0,4086,False,False,3.258096538021482,8.315566483564277
"Tax Accounting: Difficult Topic, Made Easy to Understand",2.0,200.0,1033,False,False,5.303304908059076,6.9411900550683745
Analysis of Company Financial Statements,1.5,20.0,832,False,False,3.044522437723423,6.725033642166843
Forex Trading Like Banks – Step by Step with Live Examples,4.5,195.0,677,False,False,5.278114659230518,6.519147287940395
Fundamentals of Investing!,2.0,20.0,3125,False,False,3.044522437723423,8.047509510981422
Bank Financial Management A Comprehensive Study,1.5,50.0,1081,False,False,3.9318256327243257,6.9865664594064265
Learn to Trade Forex and Stocks: From Beginner to Advanced,2.0,200.0,1645,False,False,5.303304908059076,7.406103381237015
"Master 'Technical Analysis and Chart reading skills Bundle""",3.0,120.0,3348,False,False,4.795790545596741,8.116417072794205
Naked Put Options Trade Covered Call & Poor Man Covered Call,1.5,200.0,939,False,False,5.303304908059076,6.84587987526405
The Ultimate Guide to Dividend & Dividend Growth Investing,5.5,200.0,2115,False,False,5.303304908059076,7.65728279297819
Charting for Beginners 101: Technical Analysis Demystified,1.5,45.0,2230,False,False,3.828641396489095,7.7102051944325325
Build a DCF Valuation Model,5.5,50.0,2053,False,False,3.9318256327243257,7.627544390488503
Introductory Financial Accounting,10.0,80.0,1793,False,False,4.394449154672439,7.492203042618741
Introduction to Cryptocurrencies and Blockchain,2.0,0.0,3775,False,True,0.0,8.236420527265391
Trade Pullback Candlestick Strategy - Make Consistent Pips,3.0,200.0,521,False,False,5.303304908059076,6.257667587882639
Accounting Standards Basics (Professional Course Level),0.7,20.0,2222,False,False,3.044522437723423,7.706612913964197
Use the Magic Multiple Moving Average Forex Trading system,1.0,50.0,1097,False,False,3.9318256327243257,7.001245622069476
QuickBooks 2015 Training for Newbies,6.0,200.0,2506,False,False,5.303304908059076,7.826842098158293
TRADING PSYCHOLOGY: Trading Mindset Mastery,1.0,120.0,975,False,False,4.795790545596741,6.883462586413092
Option Trading: How to Adjust Delta-Neutral Strangles!,1.5,145.0,1398,False,False,4.983606621708336,7.243512974665482
Profitable binary option trading strategy,1.5,195.0,1096,False,False,5.278114659230518,7.00033446027523
Tax Strategy: Financial Planning for Beginners,2.0,200.0,1703,False,False,5.303304908059076,7.440733707389261
Accounting 2 Simplified for You,5.0,45.0,1446,False,False,3.828641396489095,7.277247726631484
Project Funding Modelling (for Professionals),1.5,20.0,2736,False,False,3.044522437723423,7.914617709040679
Investing: How I Consistently Beat The Stock Market,4.5,200.0,2000,False,False,5.303304908059076,7.601402334583733
Bookkeeping Basics:  Understand the Fundamentals,4.5,75.0,853,False,False,4.330733340286331,6.74993119378857
Leasing - A Comprehensive Study (Professional Course Level),3.5,20.0,3094,False,False,3.044522437723423,8.037543185118697
Trading Options For Consistent Returns: Options Basics,1.5,0.0,4077,False,True,0.0,8.3133619511344
TechniTrader Leading Hybrid Indicator Trading,1.0,20.0,4117,False,False,3.044522437723423,8.323122887587735
Financial modeling: Build a DCF equity valuation model,1.5,20.0,1369,False,False,3.044522437723423,7.222566018822171
CryptoArbitrager: Bitcoin Trading Robot (no mining),0.55,150.0,1224,False,False,5.017279836814924,7.110696122978827
