students_capped,price_clean,is_free,discount_rate_actual,source,students_log,price_log,has_discount
102,15.0,False,87.11,Shaguf,4.634728988229636,2.772588722239781,True
2,30.0,False,67.86,Shaguf,1.0986122886681096,3.4339872044851463,True
7,17.0,False,71.67,Shaguf,2.0794415416798357,2.8903717578961645,True
1,12.0,False,89.71,Shaguf,0.6931471805599453,2.5649493574615367,True
221,27.0,False,73.79,Shaguf,5.402677381872279,3.332204510175204,True
201,17.0,False,48.48,Shaguf,5.308267697401205,2.8903717578961645,True
101,8.0,False,92.73,Shaguf,4.624972813284271,2.1972245773362196,True
1331,13.0,False,88.86,Shaguf,7.194436851100335,2.639057329615259,True
211,5.0,False,99.8,Shaguf,5.356586274672012,1.791759469228055,True
101,10.0,False,99.67,Shaguf,4.624972813284271,2.3978952727983707,True
151,14.0,False,81.66,Shaguf,5.0238805208462765,2.70805020110221,True
1253,12.0,False,89.71,Shaguf,7.134093721192866,2.5649493574615367,True
109,9.0,False,88.51,Shaguf,4.700480365792417,2.302585092994046,True
321,16.0,False,84.0,Shaguf,5.7745515455444085,2.833213344056216,True
104,0.0,True,100.0,Shaguf,4.653960350157523,0.0,True
331,155.0,False,22.11,Shaguf,5.805134968916488,5.049856007249537,True
353,11.0,False,86.75,Shaguf,5.869296913133774,2.4849066497880004,True
322,22.0,False,73.49,Shaguf,5.777652323222656,3.1354942159291497,True
1330,14.0,False,88.0,Shaguf,7.193685818395112,2.70805020110221,True
331,6.0,False,83.64,Shaguf,5.805134968916488,1.9459101490553132,True
1321,11.0,False,90.57,Shaguf,7.186901020411631,2.4849066497880004,True
321,1.0,False,99.35,Shaguf,5.7745515455444085,0.6931471805599453,True
102,0.0,True,100.0,Shaguf,4.634728988229636,0.0,True
113,15.0,False,88.72,Shaguf,4.736198448394496,2.772588722239781,True
301,1.0,False,99.95,Shaguf,5.71042701737487,0.6931471805599453,True
250,0.0,True,100.0,Shaguf,5.5254529391317835,0.0,True
2,28.0,False,74.47,Shaguf,1.0986122886681096,3.367295829986474,True
311,13.0,False,99.04,Shaguf,5.7430031878094825,2.639057329615259,True
1,32.0,False,61.6,Shaguf,0.6931471805599453,3.4965075614664802,True
12,30.0,False,87.95,Shaguf,2.5649493574615367,3.4339872044851463,True
1,2.0,False,93.94,Shaguf,0.6931471805599453,1.0986122886681096,True
101,11.0,False,91.73,Shaguf,4.624972813284271,2.4849066497880004,True
311,110.0,False,44.72,Shaguf,5.7430031878094825,4.709530201312334,True
1,10.0,False,91.43,Shaguf,0.6931471805599453,2.3978952727983707,True
1311,13.0,False,88.86,Shaguf,7.179307969504034,2.639057329615259,True
2,56.0,False,52.0,Shaguf,1.0986122886681096,4.04305126783455,True
